"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2094",203,"Galaxy Note 3 Organic Leather Sleeve | PINK | http://t.co/3pDCKqRyQ1 | #GalaxyNote3Sleeve #Note3Sleeve #Note3Portel #Note3Cover #Galaxy...",FALSE,0,NA,"2014-03-17 17:31:40",FALSE,NA,"445613449125830659",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","crafterei",0,FALSE,FALSE,NA,NA
"2918",134,"RT @maximaxoo: #Space #Art: illustration sequence of the #MilkyWay &amp; #Andromeda #galaxy colliding ► http://t.co/Qy5v76Roi7 http://t.co/vo6m…",FALSE,0,NA,"2014-03-26 03:54:39",FALSE,NA,"448669333267701760",NA,"web","OrionNebulaBoy",75,TRUE,FALSE,NA,NA
"2278",88,"RT @maximaxoo: #Space: #Andromeda #galaxy in different wavelengths
http://t.co/akW9U8ZYlo via @sagansense http://t.co/LB4kYSn7AX",FALSE,0,NA,"2014-03-19 21:56:07",FALSE,NA,"446404776440631296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","croce_roberto",78,TRUE,FALSE,NA,NA
"3426",49,"RT @maximaxoo: #Space: bright #spiral #galaxy Messier 63, the 'Sunflower Galaxy'
http://t.co/AljucahHeu via @apod http://t.co/8SIuwmhGoV",FALSE,0,NA,"2014-03-21 22:25:43",FALSE,NA,"447137000944988161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MeccaBrooks",67,TRUE,FALSE,NA,NA
"3437",60,"RT @maximaxoo: #Space: bright #spiral #galaxy Messier 63, the 'Sunflower Galaxy'
http://t.co/AljucahHeu via @apod http://t.co/8SIuwmhGoV",FALSE,0,NA,"2014-03-21 22:16:51",FALSE,NA,"447134771303284736",NA,"web","Pammy789",67,TRUE,FALSE,NA,NA
"3535",60,"#Galaxy How to Boot your Galaxy S4 into Safe Mode [Step by Step Guide] http://t.co/4osZHBdTvU",FALSE,0,NA,"2014-03-22 22:46:51",FALSE,NA,"447504710111461377",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","voxexevule",0,FALSE,FALSE,NA,NA
"3317",38,"Fell in love!! #vans #galaxy #amazing http://t.co/nkRcwVJsVf",FALSE,1,NA,"2014-03-20 22:34:42",FALSE,NA,"446776876661739520",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Pokahawtazz",0,FALSE,FALSE,NA,NA
"1327",34,"Lovely image from the #Hubbell of the core of a Grand Design #Galaxy, http://t.co/uG4dEDcC6o",FALSE,0,NA,"2014-03-17 22:36:38",FALSE,NA,"445690196668198912",NA,"<a href=""http://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","CapertonFineArt",0,FALSE,FALSE,NA,NA
"1728",136,"RT @VictorianSteam: He screamed ""Paris will have the tallest structure in the world!"" #paris #Apple #Sony #Samsung #Galaxy #Tab #SXSW http:…",FALSE,0,NA,"2014-03-17 19:23:18",FALSE,NA,"445641543244709888",NA,"web","LincolnsBoombox",1,TRUE,FALSE,NA,NA
"1482",189,"RT @LincolnsBoombox: Same happened to the officers' eCog Pluto Microsoft #Surface tablet  http://t.co/ytPSsfhory … #Sony #iPad #iPhone #Sam…",FALSE,0,NA,"2014-03-17 17:57:27",FALSE,NA,"445619940230307840",NA,"web","VictorianSteam",1,TRUE,FALSE,NA,NA
"2835",51,"http://t.co/TKKd37JkKi: #cosmique #infini #cosmic #infinity #galaxy #Univers #Space #Astronomy #Time #f... http://t.co/vSLHsdlAH4",FALSE,0,NA,"2014-03-26 07:48:00",FALSE,NA,"448728057420206080",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","888infinito888",0,FALSE,FALSE,NA,NA
"911",216,"#Icecream #galaxy #chocolate #chinese #Film  #ChanningTatum  perfect night in on my own!:) http://t.co/ZgyX9ko9rf",FALSE,0,NA,"2014-03-17 16:53:48",FALSE,NA,"445603922032726016",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","ShannonCiddie",0,FALSE,FALSE,NA,NA
"1855",263,"""@JHALMOORI_BLOG: Here’s why #Samsung #Galaxy #Fit is the #best #wearable #device http://t.co/U4V93m59VB""",FALSE,0,NA,"2014-03-17 15:24:37",FALSE,NA,"445581477321781249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","salmanhossain",0,FALSE,FALSE,NA,NA
"1598",6,"RT @justintimeOO: ¤ AUS http://t.co/Nf4QFyhrfc  justintimeOO South Australia AUS Adelaide #samsung #galaxy #tab 2",FALSE,0,NA,"2014-03-17 23:31:42",FALSE,NA,"445704054375579649",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","uk24news",8,TRUE,FALSE,NA,NA
"2482",93,"Galaxy Note 3 Organic Leather Sleeve | GT40 | http://t.co/jnqgYVZ1gU | #GalaxyNote3Sleeve #Note3Sleeve #Note3Portel #Note3Cover #Galaxy...",FALSE,0,NA,"2014-03-21 21:31:33",FALSE,NA,"447123372800212992",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","crafterei",0,FALSE,FALSE,NA,NA
"2961",177,"#iPhone #App #Pattern #Shooter - #Photo &amp; Video #white #people #meet #samsung #galaxy #htc #8s #link:play.goog... http://t.co/RXsqXOZ6La",FALSE,0,NA,"2014-03-26 03:37:58",FALSE,NA,"448665134987108352",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","inge_ilse",0,FALSE,FALSE,NA,NA
"3775",102,"RT @VictorianSteam: eCog Hades &amp; iCog Pluto WARRIOR GODS OF THE TABLET UNDERWORLD http://t.co/nHQ5fctUhu #iPad #Galaxy #Samsung #SXSW http:…",FALSE,0,NA,"2014-03-24 19:27:14",FALSE,NA,"448179248214192128",NA,"web","AdmiralWilhelm",2,TRUE,FALSE,NA,NA
"634",38,"Behind enemy lines. #Tijuana #xolos vs #Galaxy http://t.co/rG9eMJvXaZ",FALSE,0,NA,"2014-03-19 09:11:26",FALSE,NA,"446212340405780480",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","CucumberExpress",0,FALSE,FALSE,NA,NA
"2460",71,"RT @boutthatkimk: So much good #Galaxy",FALSE,0,NA,"2014-03-21 22:08:56",FALSE,NA,"447132780468502528",NA,"web","WajidMahnoor",151,TRUE,FALSE,NA,NA
